symbol,mint,signature,live_id,paper_id,live_entry_lag_s,live_entry_vs_paper,live_hold_s,paper_hold_s,live_peak_x,paper_peak_x,live_exit_x,paper_exit_x,live_exit_reason,paper_exit_reason,live_size,paper_size,live_pnl,paper_pnl,token_true_peak,inflow_at_trigger,trigger_multiple,buy_share,rug_prob,token_label
Cooper,BeeuRymVeAzVEQ68RWLeDBiiQ6r4QfLz8v4BVvdgCBZU,MOON_STEADY,4584,4583,10.7,1.0132,24,29,1.236,1.253,1.090,0.956,profit_trail,profit_trail,2.50,1.50,-0.21,-0.05,3.11,1.144,1.310,0.667,0.159,winner
Trench,2WiAa9sawwd3Ns9YxLFSNDRNjfazZoukQ9sQF5h1pump,MOON_STEADY,4593,4592,4.8,1.0617,14,149,1.060,1.241,1.021,1.115,depth_collapse_cut,profit_trail,2.50,6.76,0.05,0.70,3.01,1.247,1.478,0.615,0.260,winner
FORMER,FwZUDHGzgvM3s1Fgu5Q4jwqpuFUWeVdGehbH8oQnkp3b,MOON_STEADY,4600,4599,12.5,0.7875,27,33,1.277,1.032,0.775,0.475,depth_collapse_cut,hard_stop,2.50,1.50,-0.57,-0.82,1.71,1.157,1.339,0.793,0.094,rug
Jailbreak,7riRs9hkPxNSvxz1xKWW87oep1q1JoAFQzphnN7ysZSw,MOON_STEADY,4612,4611,5.2,1.0144,12,82,1.001,1.327,0.973,0.964,depth_collapse_cut,profit_trail,2.50,6.73,-0.07,0.07,3.70,1.101,1.214,0.775,0.280,winner
FaZe,3LjqzhQyRSvXZhUVz3vZkQw4zR54hKjbKggc9Bg4QBpa,BASE,4666,4665,3.4,0.9630,13,603,1.106,1.080,0.991,0.748,depth_collapse_cut,never_armed_stop,3.26,6.69,-0.03,-1.75,1.56,1.201,1.431,0.676,0.327,dud
GEM,3ENtBgnaGR3dg9axXx8JjDega6etXabxhiwuqhnNpump,RUG_RISK,4681,4679,3.8,0.9755,11,242,1.169,1.192,1.134,0.647,depth_collapse_cut,hard_stop,3.25,6.71,0.43,-2.42,2.03,1.316,1.634,0.549,0.214,winner
bap,BBYMoW6by3g4M1q5CpnnJh7u7jjkxmuWrLWCLYpiUMjd,MOON_STEADY,4685,4684,3.2,0.7726,7,156,1.120,2.004,1.102,1.285,depth_collapse_cut,moon_ratchet,3.26,6.71,0.33,1.77,2.81,1.200,1.439,0.844,0.155,winner
TRUMPKET,8mWCuhwUpQ6G2T6ftYqwAhBdeidPrYtNoyFg7ZXJ1fDb,RISER,4687,4686,1.2,0.9909,10,122,1.000,1.344,0.848,1.199,depth_collapse_cut,profit_trail,3.26,6.71,-0.50,1.28,2.84,1.274,1.625,0.639,0.238,winner
TRUMP2028,ASA6myVz38URi79BP83oaUsqYgTwVBVAc2MRVVmpSNFC,BASE,4693,4692,2.8,0.9724,15,230,1.094,2.746,1.193,1.605,depth_collapse_cut,stale_take,3.25,6.72,0.63,3.93,5.40,1.270,1.614,0.646,0.101,winner
VANCE2028,Fmq1QSc3cfPeJ1oBjdoxTWqhgUBYbHAM6g6jEJ9wPEjb,RISER,4696,4695,3.1,1.0196,10,60,1.067,1.226,1.110,1.086,depth_collapse_cut,profit_trail,3.26,6.73,0.36,0.67,3.03,1.278,1.633,0.812,0.183,winner
MONA,BcWiZpe7EzkahgDonHywPVRBQ3q3NhVYfw7wH5gbyGWr,RUG_RISK,4702,4701,4.2,1.0004,7,60,1.004,1.008,0.956,0.000,depth_collapse_cut,dust_rug,3.27,6.73,-0.15,-6.69,1.80,1.235,1.499,0.735,0.112,rug
TRUMP2028,DQmgk49JMoUYzGhNQiqbNh8FD7XuCb211bHXBS1Qhdqn,MOON_STEADY,4704,4703,3.5,0.9669,8,130,1.141,1.276,1.064,1.029,depth_collapse_cut,stale_take,3.27,6.73,0.21,0.43,1.28,1.130,1.278,0.743,0.270,rug
TREMP,GAm7hHmYUWRJjHACHQDPVPoLN9ToRKfWoW4DgMzmQRvr,BASE,4706,4705,2.8,1.1281,9,84,1.000,1.425,0.841,0.942,depth_collapse_cut,profit_trail,3.27,6.71,-0.52,-0.08,5.21,1.255,1.576,0.638,0.107,winner
TRUMP2028,FTQyc7xorCaCzYrmr3qNVxNwrHqNPmw68RT2NV5jfJdM,RUG_RISK,4711,4710,3.7,0.9573,12,20,1.000,1.000,0.923,0.676,depth_collapse_cut,hard_stop,3.25,6.71,-0.25,-2.23,6.70,1.201,1.441,0.674,0.092,winner
WORM,EjpTCWixMW26FngdU8aoBQvqUnPh4wRWQfWfGWB9eAHU,BASE,4721,4720,3.3,0.9677,12,258,1.000,1.747,0.786,1.000,depth_collapse_cut,moon_ratchet,3.26,6.72,-0.70,0.20,3.58,1.201,1.438,0.732,0.332,winner
HOLD,7bdqBKpmqK1RpwQkCeroPuunSY5TrCgc1Ee7TWDkVvMT,BASE,4724,4723,3.0,1.0323,9,48,1.374,1.449,1.233,1.009,depth_collapse_cut,profit_trail,3.23,6.72,0.46,0.31,4.33,1.229,1.492,0.661,0.202,winner
Mymo,4XLqUeNX1Mpvgz9hgoNZuSCjezc2WPxQsPEpEwEEh9FJ,MOON_STEADY,4727,4726,3.1,1.0282,12,21,1.041,1.212,0.924,0.969,depth_collapse_cut,profit_trail,3.24,6.72,-0.25,-0.28,1.29,1.127,1.270,0.792,0.167,dud
shor,7X9EQZSLJKyS1mmRaAYAmGwNMsZbZzocpm9KYyTtKKN2,RISER,4731,4730,2.9,0.9892,14,723,1.048,1.189,1.018,0.932,depth_collapse_cut,runner_timeout,2.50,6.71,0.04,-0.53,1.72,1.197,1.433,0.847,0.244,dud
TRUMP2028,6PrJaqNMf5Poeso4e87SxNX4rygK4SWaF8VZpo4eJuio,RISER,4734,4733,3.0,1.0332,6,33,1.048,1.277,1.020,1.171,depth_collapse_cut,profit_trail,2.50,3.36,0.05,0.54,2.82,1.190,1.415,0.806,0.219,winner
FSR,AXC5S7ap52zytzAF58nTJTkvZ7VYzFKXYULpErCwUFLE,BASE,4745,4744,3.8,0.9916,13,374,1.045,1.036,0.863,0.000,depth_collapse_cut,dust_rug,3.22,6.70,-0.44,-6.66,1.62,1.278,1.624,0.785,0.279,rug
qworm,BtYyiyYyFZK5c4jrstumtQyRyaw4vPEiJcKKjUJuArw3,RUG_RISK,4750,4749,5.6,1.0011,9,397,1.016,1.760,0.988,1.426,depth_collapse_cut,stale_take,2.50,3.33,-0.03,1.22,2.57,1.120,1.255,0.871,0.341,winner
qworm,75SerFWNFfkkWjQhRYsToyRDq8tSnBQvYhMrYV8inWsG,MOON_STEADY,4757,4756,3.5,1.0220,11,18,1.118,1.206,1.162,1.055,depth_collapse_cut,profit_trail,3.17,1.50,0.51,0.03,4.94,1.161,1.351,0.710,0.120,winner
qworm,FEWviRkEfkEZ4FGQCksqkRYLRjFSU1FivXWtSWkh7ikM,RISER,4759,4758,3.2,0.9128,10,204,1.000,1.410,0.780,1.245,depth_collapse_cut,profit_trail,2.50,1.50,-0.55,0.32,3.64,1.187,1.411,0.886,0.180,winner
PONS,5iqLVjaeahBgmdu4ps1opFwXg1RYq3gPUYjtMyENJgz,RUG_RISK,4762,4760,3.7,0.9821,23,763,1.123,1.358,1.069,1.282,depth_collapse_cut,runner_timeout,2.50,2.56,0.17,0.62,1.47,1.108,1.206,0.649,0.160,dud
CASHCAT,ABGHsrkAxJTqZxS37DYTMrNpkVjK2rze83mdtxb7DNGR,RUG_RISK,4764,4763,4.0,0.9845,10,240,1.041,1.134,1.028,0.000,depth_collapse_cut,dust_rug,2.50,2.56,0.07,-2.53,1.31,1.113,1.208,0.831,0.142,rug
Erdős,3qoLiErwp1dL3kxYuAXA7uycLP4JrfTFkSqb83D3rU6C,BASE,4766,4765,3.0,0.9409,11,216,1.105,1.478,0.986,0.877,depth_collapse_cut,profit_trail,2.50,3.33,-0.03,-0.22,2.07,1.104,1.220,0.753,0.203,winner
NOCK,H1VuYfnP7TUdM2U1N3xYdsxxoe8doZjgrnbEXXSE5ttb,RUG_RISK,4768,4767,3.7,1.0039,10,474,1.001,1.295,0.956,1.250,depth_collapse_cut,stale_take,2.50,2.56,-0.11,0.56,1.75,1.146,1.259,0.500,0.108,dud
Erdős,FFtJPPwVwgEWeXDRfmzeUQnkquoyAaGPdJJEsgTLTqEn,RISER,4770,4769,3.4,0.9630,7,59,1.078,1.237,1.126,1.127,depth_collapse_cut,profit_trail,3.16,1.50,0.40,0.15,2.30,1.217,1.482,0.842,0.225,winner
goodcoin,BEoWYpm4WAUJL8h9JDbE5YbKoH5wi7wDpRkwTRzSiJNd,RUG_RISK,4772,4771,3.8,0.9702,5,296,1.000,1.583,0.973,1.044,depth_collapse_cut,moon_ratchet,2.50,4.37,-0.07,0.27,2.51,1.135,1.287,0.590,0.248,winner
NODFATHER,BQ2Ztj7XsWwpZFYvFE8EZgfSSoqYM7Hs73FpDrTSmfMt,BASE,4774,4773,2.9,0.9380,15,74,1.034,1.086,0.943,0.000,depth_collapse_cut,dust_rug,3.18,5.26,-0.18,-5.23,1.58,1.212,1.463,0.765,0.226,rug
HOOD,CzG5XJjMg286imN82SUdwf8UUgZ9Ao1y7m29zCN7ZF2t,RUG_RISK,4776,4775,3.1,1.0144,14,46,1.197,1.300,1.185,1.266,depth_collapse_cut,manual_harvest,3.17,5.18,0.58,1.24,2.24,1.217,1.439,0.665,0.092,winner
gelato,V7ieD3HA531txxziJZYMLCVSBodZrUwRXNJwjC3d91c,BASE,4780,4779,4.3,0.8941,7,224,1.143,1.908,0.969,1.263,depth_collapse_cut,stale_take,3.18,5.18,-0.10,1.32,5.65,1.282,1.620,0.716,0.221,winner
