id,symbol,mint,signature,book,opened_at,closed_at,hold_s,size_usd,entry_px,peak_px,exit_px,exit_reason,pnl,sells,tp_rungs,token_true_peak,token_final,inflow,trigger_mult,buy_share,rug_prob,wallet_winner_hits,wallet_rug_hits,stars,label
3910,POOL,G5cRLb35pYxNVzUhyRYYZdX5yC1zSLnfc1swg5tAEMAv,BASE,core,2026-07-21 20:49:02.464108+00,2026-07-21 21:05:44.448+00,1001.983892,2.00,0.000000850355,0.000000981700,,live_unsellable,-2.0000,0,0,1.658,0.1360,1.174,1.366,0.745,0.296,0,0,0,rug
3912,DEXBULL,2RjbiViToMYRgPf6p7bn5HD9aru27y5BzS4iR6rUpump,BASE,core,2026-07-21 21:00:12.389841+00,2026-07-21 21:04:49.291+00,276.901159,2.00,0.000080931923,0.000103733935,0.000001562952,profit_trail,-1.5022,2,1,2.387,0.0336,1.292,1.602,0.721,0.464,1,3,0,winner
3915,BullChills,23yMFH1wJB5LNtuuUNJxRZjCNwvuJRfJmNBJ7AoYpump,MOON_SLOW,core,2026-07-21 21:14:57.975741+00,2026-07-21 21:18:39.873+00,221.897259,2.00,0.000050103393,0.000063812274,0.000059125747,profit_trail,0.3644,2,1,2.029,1.9014,1.240,1.475,0.434,0.442,2,0,0,winner
3920,grimace,A72LbyYr7NDbzkMAGS8AQ28Stwn8Gixg7UgFrUS1pump,BASE,core,2026-07-21 21:20:50.391703+00,2026-07-21 21:24:04.441+00,194.049297,2.00,0.000045645360,0.000072535825,0.000055071439,profit_trail,0.6133,5,4,2.328,0.0407,1.185,1.362,0.680,0.516,0,1,0,winner
3921,grimace,A72LbyYr7NDbzkMAGS8AQ28Stwn8Gixg7UgFrUS1pump,BASE,core,2026-07-21 21:20:50.659398+00,2026-07-21 21:24:05.419+00,194.759602,2.00,0.000045652819,0.000072535825,,live_desync_empty,0.3103,3,3,2.328,0.0407,1.185,1.362,0.680,0.516,0,1,0,winner
3923,BullChills,FfMMVL1hQrUPKEKtZr4CSECTsBMa2Xo5NB2qJVvYApiu,BASE,core,2026-07-21 21:22:08.676485+00,2026-07-21 21:38:30.385+00,981.708515,2.00,0.000079709437,0.000160737416,,live_unsellable,-2.0000,0,0,1.418,1.3176,1.179,1.380,0.654,0.318,0,0,0,rug
3939,BSTRAT,4h4EpWVsMiyioXafSg14AYvrWfPGeNVq7KFui94tZhh5,RISER,core,2026-07-21 22:06:52.884575+00,2026-07-21 22:09:20.625+00,147.740425,2.00,0.000010841995,0.000014984890,0.000014935329,profit_trail,2.2578,4,3,2.303,1.7169,1.239,1.538,0.815,0.161,7,0,2,winner
3940,BSTRAT,4h4EpWVsMiyioXafSg14AYvrWfPGeNVq7KFui94tZhh5,RISER,core,2026-07-21 22:06:53.19569+00,2026-07-21 22:09:21.295+00,148.099310,2.00,0.000010847318,0.000014984890,,take_profit_0,-1.0949,2,2,2.303,1.7169,1.239,1.538,0.815,0.161,7,0,2,winner
3944,KirkCoin,Dn7ijcvcy6aqW1PYzE8qiw7aYmyfbVWETGBR9xYimw6S,RISER,core,2026-07-21 22:17:55.36215+00,2026-07-21 22:18:39.86+00,44.497850,2.00,0.000043056345,0.000054361210,0.000055839598,profit_trail,0.5895,1,0,4.224,3.2573,1.332,1.773,0.906,0.135,1,0,1,winner
3947,Deerothy,E2AaS1ZypJYhHEjTykH6cxC6j4cxE9oahM7cazZXq87g,BASE,core,2026-07-21 22:21:02.361185+00,2026-07-21 22:29:09.204+00,486.842815,2.00,0.000000951492,0.000001156129,0.000001328136,profit_trail,0.6974,2,1,4.067,4.0069,1.317,1.721,0.739,0.226,0,0,0,winner
3949,JIMBERLY,12aV3ZvmqjLhB3KAdtQoL5Fvh5y8ap62DFQeZ3XRpump,MOON_STEADY,core,2026-07-21 22:24:09.614077+00,2026-07-21 22:26:20.262+00,130.647923,2.00,0.000043609573,0.000045132556,0.000025424563,hard_stop,-0.8383,1,0,1.966,0.7291,1.295,1.581,0.459,0.183,1,0,1,dud
3951,JIMBERLY,2XXPXYJ2ktrazqQzYb68WiboZpEtaBoUFNcskXdUpump,RISER,core,2026-07-21 22:26:46.533976+00,2026-07-21 22:32:12.75+00,326.216024,2.00,0.000051079923,0.000065271888,0.000038358215,profit_trail,-0.3034,2,1,1.833,0.0412,1.203,1.400,0.885,0.604,0,1,1,rug
3956,GLM,CfZ3pFNUsAGDn75BUUFwTNwohFpqgYAaKgBSubCDr7kD,BASE,core,2026-07-21 22:52:19.316157+00,2026-07-21 23:08:41.031+00,981.714843,2.00,0.000001029626,0.000001029626,,live_unsellable,-2.0000,0,0,1.886,1.6508,1.291,1.649,0.700,0.171,0,0,0,rug
3959,RFC,D6iyeSX2nBKoQm13Xrm139hWfJQXuZLyMCNiQjj84oQV,RISER,core,2026-07-21 22:54:01.094907+00,2026-07-21 22:55:41.907+00,100.812093,2.00,0.000009086275,0.000013617640,0.000009590905,profit_trail,0.2802,2,1,4.041,2.6796,1.234,1.520,0.678,0.289,0,0,2,winner
3961,WIFSEM,AAMBPWRh7bb2xWhJRywCCUDnqgCkULoqsW3aoX9Hpump,CLIMBER,core,2026-07-21 22:54:47.094549+00,2026-07-21 23:03:09.135+00,502.040451,2.00,0.000153229670,0.000153229670,0.000049568575,hard_stop,-1.3573,1,0,4.656,0.0460,2.076,3.841,0.439,0.013,0,4,1,winner
3963,Molly,DCrNTehHw2MosM97VyFUMyUFnn8nzFozDNQVyMuT6d5u,BASE,core,2026-07-21 23:07:27.67298+00,2026-07-21 23:13:52.75+00,385.077020,2.00,0.000000923139,0.000001036000,0.000001173575,profit_trail,0.4346,2,1,4.344,4.3026,1.180,1.382,0.757,0.308,0,0,0,winner
3965,psyopcat,7cmVnV8rADqRRR8a9SSR5esBrqstiYzpTxMiq7xo5hQS,RISER,core,2026-07-21 23:09:35.876144+00,2026-07-21 23:10:30.97+00,55.093856,2.00,0.000011656370,0.000013317315,0.000011681970,profit_trail,0.0001,1,0,3.682,3.6819,1.198,1.434,0.720,0.212,0,0,1,winner
3969,AFTER,3YPSwFg2Vx8jwUXQBwxf47tKUHc5quJenzq83rwGFxL3,BASE,core,2026-07-21 23:37:08.708739+00,2026-07-21 23:50:00.459+00,771.750261,2.00,0.000025534362,0.000027290000,,live_unsellable,-2.0000,0,0,2.353,1.1858,1.251,1.566,0.730,0.068,1,0,0,winner
3970,ACAT,7KgmXNK8Q3RLTYszfz1ZfLDJ7CMkyTSZD5vtzxPQjbLZ,BASE,core,2026-07-21 23:37:10.007537+00,2026-07-21 23:53:45.447+00,995.439463,2.00,0.000000879270,0.000000901200,,live_unsellable,-2.0000,0,0,1.551,1.1082,1.174,1.360,0.732,0.215,0,0,0,rug
3971,AFTER,FNuLmWU3LqFouVz7MkU98dpK5pHCgkAM7DR5k1WJsQeY,MOON_VIOLENT,core,2026-07-21 23:37:10.382732+00,2026-07-21 23:44:37.288+00,446.905268,2.00,0.000000004683,0.000000004683,0.000000000474,runner_timeout,-1.6337,2,1,1.541,0.7799,1.242,1.541,0.432,0.527,0,0,2,rug
3973,WILD,9BrknVaQJEGbASj1ep4iXcJz5oFn1jjtMhk2Ldqcpump,BASE,core,2026-07-21 23:38:40.527426+00,2026-07-21 23:50:07.526+00,686.998574,2.00,0.000115839665,0.000149940248,0.000011441446,hard_stop,-1.8068,1,0,2.081,0.0268,1.310,1.640,0.650,0.204,0,0,0,winner
3977,AFTER,7PjXxpF1JW28KWBhrWjwcxqZBedXgnWobFXtkYtqizE2,MOON_FAST,core,2026-07-21 23:45:32.794197+00,2026-07-21 23:46:41.891+00,69.096803,2.09,0.000143305622,0.001123000000,0.000000001025,profit_trail,-1.8769,2,1,15.476,0.0000,2.144,4.596,0.409,0.007,0,0,2,winner
3980,Angel,AyXx5bMRRffkzAXuQTzoF5QDFNDWMniX3nPqnvhJE4kj,MOON_STEADY,core,2026-07-21 23:50:59.642997+00,2026-07-22 00:03:55.044+00,775.401003,2.00,0.000024228842,0.000024228842,,live_unsellable,-2.0000,0,0,1.733,1.2837,1.226,1.501,0.729,0.146,0,0,2,rug
3981,PSYOPDOG,44iE296fg1AfvF3krdKSuPa1ncWEmU2VD6iKc2eoGs42,RISER,core,2026-07-21 23:51:09.337475+00,2026-07-21 23:55:48.316+00,278.978525,2.00,0.000019794138,0.000025153619,0.000031825663,profit_trail,1.0570,2,1,5.925,5.9251,1.229,1.509,0.810,0.171,0,0,1,winner
3984,IF,8SbArZP4EYZJPb3jTdhCjYMn2XR2dQ4GuQeJRBdWvvDx,MOON_STEADY,core,2026-07-21 23:56:14.277138+00,2026-07-21 23:56:41.82+00,27.542862,2.00,0.000052027575,0.000054439869,0.000017652810,hard_stop,-1.3257,1,0,1.583,0.0000,1.258,1.583,0.473,0.574,0,0,1,rug
3986,PONS,Cmj5vsNn938HW47BGFkFCwLQAtFSbvi6HF77Mq13yBVe,MOON_STEADY,core,2026-07-22 00:11:39.450074+00,2026-07-22 00:12:43.578+00,64.127926,2.00,0.000046831946,0.000048231968,0.000042950134,profit_trail,-0.1701,1,0,6.984,6.0038,1.230,1.514,0.685,0.205,0,0,1,winner
3988,Jimothy,DsbzowqnSLprTZ7QhiH3Vu5dVRzVdA6UW6NTNRwKDm4G,BASE,core,2026-07-22 00:16:23.130854+00,2026-07-22 00:17:43.166+00,80.035146,2.00,0.000024131170,0.000026653631,0.000014331838,hard_stop,-0.8165,1,0,4.770,4.7703,1.405,1.971,0.735,0.053,0,0,0,winner
3991,Jimberly,JAF9prunHgPFjv6nesZ68V5jYoA9QSPnJF9iV5gv1mKK,RISER,core,2026-07-22 01:04:22.752945+00,2026-07-22 01:11:46.742+00,443.989055,2.00,0.000042769230,0.000046513190,0.000016655547,hard_stop,-1.2255,1,0,1.559,0.4177,1.279,1.550,0.602,0.269,0,4,1,rug
3993,win,FYWNheTK5HC5NdroTbXS6q4HjD8QP3p65f6sYMJsnGgH,MOON_SLOW,core,2026-07-22 01:10:45.569948+00,2026-07-22 01:11:11.721+00,26.151052,2.00,0.000025545590,0.000031775720,0.000030134065,profit_trail,0.4174,2,1,1.978,1.6356,1.180,1.391,0.496,0.197,1,0,2,rug
3995,Cooncoin,8Co4uyZBeNUTWxauuaapJpfNihQBoC7rp58LkmkFrGXg,MOON_SLOW,core,2026-07-22 01:17:36.778885+00,2026-07-22 01:17:49.963+00,13.184115,2.00,0.000051469382,0.000063129442,0.000048107206,profit_trail,-0.1311,1,0,3.150,0.0000,1.174,1.378,0.457,0.617,0,1,0,winner
4044,EAGLE,8noAACo5d7JtCsHrEK4zYgv2vXX6AtheFrRXPwJrjwah,RISER,core,2026-07-22 05:30:05.162002+00,2026-07-22 05:31:36.051+00,90.888998,4.00,0.000008732850,0.000010877380,0.000010151142,profit_trail,0.6492,1,0,3.064,2.2356,1.163,1.354,0.658,0.289,0,0,2,winner
